Tank Type	Tank Facility ID	Tank Owner ID	Tank Number	Install Date	Tank Status	Foundation Type Concrete Coating/RPB	Foundation Type Concrete	Foundation Type Steel/Saddle/Runner/Beam	Foundation Type Earthen	Foundation Type Ring Wall	Foundation Type Unknown	Foundation Type Other	Foundation Type Other Specify	Roof Type N/A Horizontal Tank	Roof Type Floating	Roof Type Fixed Cone-Welded/Bolted	Roof Type Other	Roof Type Other Specify						
AST	1004281	50274	3	1/1/1964	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	Y	Welded Steel						
AST	1004348	32047	1	1/2/2000	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	Horizontal Tank No Roof						
AST	1004390	38111	1	8/14/1997	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1004404	40175	1	4/1/1992	DISMANTLED	Y	N	N	N	N	N	N		N	N	N	Y	None						
AST	1004404	40175	2	4/1/1992	DISMANTLED	Y	N	N	N	N	N	N		N	N	N	Y	None						
AST	1004404	40175	3	3/1/2000	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1005026	50538	1	5/1/1990	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N							
AST	1005026	50538	2	5/1/1990	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N							
AST	1005026	50538	3	1/1/1992	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N	Horizontal						
AST	1005259	40137	TheaterBld	5/10/1994	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	Y							
AST	1005270	30771	3	9/1/1990	CURR IN USE	N	Y	N	N		N	N		Y	N	N	N							
AST	1005352	39724	1	6/28/1996	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	HORIZONTAL TANK						
AST	1005567	31843	1	1/13/2016	CURR IN USE	N	N	Y	N		N	N			N	N	N							
AST	1005584	31843	1	1/1/1992	DISMANTLED	N	N	N	N		N	N			N	N	N							
AST	1005642	40112	1	9/25/1990	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1005643	32018	CW01	9/1/2002	CURR IN USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1005643	32018	CW02	9/2/2002	CURR IN USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1005643	32018	CW3	7/2/1999	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1005643	32018	CW4port	7/20/1999	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1005644	32018	EBS1	9/2/2002	CURR IN USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1005644	32018	EBS2	9/1/2002	CURR IN USE	N	N	N	N	N	N	Y		N	N	N	N							
AST	1005644	32018	EBS3port	4/21/1982	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1005645	32018	HBS1	1/1/1984	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1005645	32018	HBS2	1/1/1984	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1005645	32018	HBS3	1/1/1997	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1005807	41581	1port	1/3/2003	DISMANTLED	Y	N	N	N	N	N	N		N	N	N	N							
AST	1005848	33379	4	5/1/1992	DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1005962	27642	151	8/9/1992	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1005962	27642	153skid	6/9/1986	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1005962	27642	155skid	11/19/1987	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1006063	40165	B1	7/14/1989	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1006066	40165	P1	7/6/1989	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1006067	40165	C289.030		CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	N							
AST	1006068	40165	EC1	8/6/1989	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1006069	40165	FR1	7/16/1989	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1006071	40165	G1	7/1/1989	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1006072	40165	FV1	7/3/1989	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1006087	27913	1	1/1/1971	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	N							
AST	1006087	27913	2	1/1/1971	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	N							
AST	1006087	27913	3	1/1/1971	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	N							
AST	1006087	27913	4	1/1/1971	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	N							
AST	1006087	27913	5	1/1/1971	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	N							
AST	1006191	35191	PAST01		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST02		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST03		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST04		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST05		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST06		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST07		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST08		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006191	35191	PAST09		PERM OUT OF USE	N	Y	N	N	N	N	N		N	N	N	Y	NONE						
AST	1006248	27354	RAST01	2/1/1993	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	METAL STRUCTURE WITH FIBERGLASS ROOF						
AST	1006248	27354	RAST02	2/1/1993	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1006248	27354	RAST03	2/1/1993	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1006248	27354	RAST07		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
